siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate
2007190803,-25.753,114.202,TS0421,7.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007190923,-25.742,114.295,TS0469,8.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191018,-25.059,113.971,TS0405,7.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191021,-23.293,113.921,TS0347,8.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191126,-23.631,113.986,TS0359,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191172,-23.707,113.898,TS0371,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191192,-24.818,113.811,TS0397,7.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191339,-24.819,113.809,TS0397,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191384,-24.518,114.014,TS0372,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191408,-24.64,113.845,TS0386,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007191571,-25.311,114.124,TS0409,7.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007190287,-29.551,115.813,TS0468,8.5,three springs,TS001,Three Springs,-29.52322,115.85893,2022-02-22,25.2
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,BA,Badgingarra,-30.338049,115.539491,2022-02-22,0.4
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,BCAB,DBCA-B Portable,-30.2762,115.0926,2022-02-22,0.0
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,DG001,Dandaragan East,-30.826939,115.763161,2022-02-22,6.6
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,JB001,Jurien Bay,-30.29605,115.2213,2022-02-22,8.6
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,LE,Lancelin East,-30.884833,115.407943,2022-02-22,0.4
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,MZ002,Moora NW,-30.612997,115.897434,2022-02-22,5.6
