SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190418,-31.14,118.478,,TS0558,6,5.5
2007190419,-18.577,136.116,2007190974,TS0741,5,5.5
2007190421,-33.772,119.957,,TS0611,7.5,7.5
2007190422,-28.976,144.411,,TS1163,6.5,8
2007190423,-29.414,139.518,,TS0168,9.5,9.5
2007190424,-31.392,140.718,,TS0153,8,9.5
2007190425,-33.157,147.451,2007190768,TS1263,6.5,5.5
2007190426,-31.851,147.132,,TS1237,6,6
2007190427,-34.219,135.554,,TS0004,8,9.5
2007190428,-21.181,136.172,,TS0787,6,5.5
2007190429,-33.361,150.947,,TS1269,5,4.5
2007190430,-28.059,145.683,,TS1142,8,9
2007190431,-30.548,141.026,,TS1212,9,9.5
2007190432,-26.559,120.031,,TS0489,7,8
2007190433,-15.2,144.434,,TS0883,7.5,7.5
2007190434,-32.345,121.706,2007191027,TS0593,7.5,7.5
2007190435,-22.973,149.241,,TS1021,7,8
2007190436,-33.759,121.56,,TS0610,5,7.5
2007190437,-23.624,117.587,,TS0357,7.5,8
2007190438,-16.857,145.715,,TS0900,5.5,5
2007190439,-34.528,138.462,,TS0130,5,7.5
2007190441,-20.452,137.838,,TS0769,5,5.5
2007190442,-25.768,137.232,,TS0854,6.5,5.5
2007190444,-32.493,149.269,,TS1249,5,6.5
2007190445,-20.699,141.493,,TS0970,7.5,8.5
2007190446,-26.372,136.915,,TS0113,9,9
2007190447,-27.529,144.085,,TS1132,8,6
2007190448,-22.912,132.272,,TS0808,6.5,8
2007190450,-32.113,123.74,,TS0589,8.5,9
2007190451,-25.681,142.175,,TS1091,8,8.5
2007190452,-36.516,150.031,,TS1312,5.5,6
2007190453,-16.993,144.302,,TS0901,6,6
2007190454,-30.544,131.061,,TS0053,9.5,9.5
2007190455,-20.67,147.658,,TS0964,5,5.5
2007190456,-29.618,120.93,,TS0462,6.5,8
2007190457,-35.54,138.577,2007191004,TS0124,6,6
2007190458,-18.561,140.719,2007190774,TS0927,6.5,6.5
2007190459,-32.789,118.591,,TS0600,6,8
2007190461,-29.479,125.171,,TS0460,8,7
2007190462,-37.477,149.643,,TS1356,6,5.5
2007190463,-18.9,144.987,,TS0932,6,4.5
2007190465,-19.63,135.672,,TS0754,6,8.5
2007190466,-32.284,134.926,,TS0022,8,9
2007190467,-16.516,137.531,,TS0710,6,5.5
2007190468,-17.264,133.456,,TS0718,6,5.5
2007190469,-32.854,140.611,,TS0143,8,10
2007190471,-25.296,133.102,2007190183,TS0848,8,8
2007190472,-18.619,135.405,2007191312,TS0740,6,6.5
2007190473,-30.586,138.004,,TS0160,9.5,9.5
2007190474,-12.67,132.235,,TS0653,6,5.5
2007190475,-27.63,114.249,,TS0518,7,7.5
2007190476,-27.351,145.18,,TS1126,4.5,4.5
2007190477,-25.683,149.805,,TS1103,5,6
2007190478,-24.072,144.969,,TS1056,6,6
2007190479,-19.409,132.63,,TS0756,6,6
2007190481,-15.253,129.577,2007191594,TS0691,6,6
2007190483,-23.636,143.877,,TS1038,7.5,8.5
2007190484,-30.656,122.534,,TS0545,8,8
2007190485,-40.953,148.017,,TS1373,5.5,5
2007190486,-34.126,149.019,,TS1280,5.5,6
2007190487,-20.968,137.933,,TS0783,5.5,5.5
2007190488,-36.246,146.269,,TS1350,4.5,5
2007190490,-29.871,121.987,,TS0531,6,8
2007190491,-33.137,142.556,,TS1257,9,9
2007190492,-30.835,128.312,,TS0550,8.5,8.5
2007190493,-37.927,141.28,,TS1368,5,4.5
2007190494,-21.015,146.877,,TS0980,7,6.5
2007190495,-32.431,134.088,2007191318,TS0020,10,10
2007190496,-20.668,143.895,,TS0974,5.5,5.5
2007190497,-17.603,131.576,2007190586,TS0723,5.5,6
2007190498,-27.873,151.527,,TS1145,6,9
2007190499,-25.71,118.08,,TS0422,8,8
2007190501,-33.821,140.05,,TS0136,9,9.5
2007190502,-24.279,144.333,,TS1054,6.5,6.5
2007190503,-22.512,138.441,,TS1007,9,9.5
2007190505,-24.98,133.994,,TS0837,7,7
2007190506,-23.217,139.574,2007190631,TS1024,7.5,9
2007190507,-29.941,142.718,,TS1184,8.5,9
2007190508,-23.429,148.149,2007191119,TS1028,9,8
2007190509,-22.761,129.759,,TS0804,8,9
2007190510,-26.49,140.25,,TS0186,6.5,6.5
2007190511,-18.255,141.198,,TS0926,5,6
2007190512,-29.626,134.814,,TS0062,8.5,8
2007190513,-29.975,148.148,,TS1193,6,6.5
2007190514,-11.035,142.659,,TS0858,6,6
2007190515,-34.646,143.563,,TS1290,5.5,5.5
2007190517,-27.774,121.437,,TS0519,6.5,8
2007190518,-15.379,142.026,,TS0884,6,6.5
2007190519,-11.603,142.136,,TS0860,6.5,6.5
2007190522,-28.482,139.987,,TS0177,9.5,9.5
2007190523,-29.217,143.18,,TS1175,6,9
2007190524,-30.616,137.339,,TS0050,9,8.5
2007190525,-25.826,139.476,,TS1098,7.5,7.5
2007190526,-35.894,150.064,2007191599,TS1307,6,5.5
2007190527,-22.612,140.563,2007190609,TS1004,6.5,7
2007190528,-22.205,114.785,,TS0315,6.5,7
2007190529,-17.291,133.139,,TS0720,6,6.5
2007190531,-20.707,143.134,2007190703,TS0969,9,9
2007190532,-30.009,146.355,,TS1196,5,7.5
2007190533,-26.181,117.973,,TS0474,8.5,8.5
2007190534,-25.677,149.219,2007191522,TS1094,5.5,6.5
2007190535,-19.742,121.2,,TS0255,8.5,8
2007190536,-25.192,137.937,2007190909,TS0847,6,5
2007190537,-28.603,150.372,,TS1157,6.5,8.5
2007190538,-28.392,150.273,,TS1152,6.5,7.5
2007190539,-29.988,150.777,,TS1191,8.5,8.5
2007190541,-24.958,114.807,,TS0396,7.5,7.5
2007190542,-19.601,145.89,,TS0945,4.5,5.5
2007190543,-28.321,141.409,,TS1156,8.5,9
2007190544,-16.773,138.086,,TS0896,6,6
2007190545,-35.578,150.17,,TS1306,6,6
2007190546,-35.694,142.617,,TS1341,9.5,10
2007190547,-27.845,123.727,,TS0522,8.5,8
2007190548,-18.084,143.92,2007191236,TS0934,4.5,4.5
2007190549,-25.516,123.036,2007191507,TS0412,6.5,7.5
2007190550,-18.623,146.091,,TS0930,6.5,6.5
2007190551,-29.058,153.334,,TS1171,5,5
2007190552,-33.911,136.413,2007190675,TS0006,7,9.5
2007190553,-33.453,150.904,,TS1273,5,5
2007190554,-14.185,129.651,2007190752,TS0673,5.5,6
2007190555,-32.061,125.624,,TS0592,8.5,9
2007190556,-38.156,147.021,,TS1320,4.5,5
2007190557,-34.888,118.001,,TS0630,5.5,5.5
2007190558,-19.23,146.627,,TS0936,7,6.5
2007190559,-23.583,136.62,,TS0813,6.5,6
2007190561,-28.192,133.004,,TS0084,5,5
2007190562,-20.985,132.576,,TS0782,6.5,7
2007190563,-13.107,135.729,,TS0657,6.5,6
2007190564,-21.365,138.274,,TS0978,8,8.5
2007190565,-17.939,123.743,,TS0231,7.5,7.5
2007190566,-29.279,115.166,,TS0455,7,6.5
2007190567,-30.325,144.019,,TS1195,5.5,9
2007190568,-12.497,141.892,2007190154,TS0864,6.5,6.5
2007190569,-33.961,145.56,,TS1274,6.5,8
2007190570,-30.26,123.197,,TS0537,8,8
2007190571,-28.939,146.732,,TS1164,6.5,8.5
2007190572,-17.502,142.358,,TS0909,6.5,6.5
2007190574,-17.198,134.328,,TS0721,6,6
2007190575,-27.216,124.411,,TS0495,7,8.5
2007190576,-12.479,131.085,,TS0644,5,9
2007190577,-25.674,151.247,,TS1104,6.5,8
2007190578,-24.869,134.243,,TS0838,6,6
2007190579,-35.242,148.951,,TS1301,8.5,5
2007190581,-33.54,139.702,,TS0138,10,10
2007190583,-18.045,138.856,2007191063,TS0921,5,5.5
2007190584,-19.997,146.434,,TS0950,6,6
2007190585,-22.282,142.515,,TS0996,6.5,8
2007190586,-17.602,131.576,2007190497,TS0723,6,6
2007190588,-20.85,116.607,,TS0288,8,8.5
2007190589,-41.587,147.236,,TS1377,4.5,6
2007190591,-19.456,141.82,,TS0946,6,9
2007190592,-11.437,132.258,,TS0637,5.5,5.5
2007190593,-18.358,132.239,,TS0737,6.5,6.5
2007190596,-29.247,138.212,,TS0171,9.5,9.5
2007190597,-29.104,150.951,,TS1179,6,6.5
2007190598,-38.477,144.934,,TS1371,4.5,6.5
2007190599,-33.719,135.421,,TS0009,8.5,9.5
2007190601,-24.54,132.634,,TS0829,6.5,6.5
2007190602,-31.33,118.011,,TS0567,6,4
2007190604,-19.617,131.44,,TS0758,6.5,6.5
2007190605,-28.577,150.821,,TS1155,6,7.5
2007190606,-21.861,146.672,,TS0988,5,5
2007190609,-22.611,140.562,2007190527,TS1004,8,7.5
2007190610,-12.389,142.177,,TS0863,6.5,7
